user_id,count_futures_trader,count_index_options_non_scalper,count_index_options_scalper,count_index_options_seller,count_investor,count_stock_options_non_scalper,count_stock_options_scalper,count_stock_options_seller,count_stock_trader,count_unmapped,pct_futures_trader,pct_index_options_non_scalper,pct_index_options_scalper,pct_index_options_seller,pct_investor,pct_stock_options_non_scalper,pct_stock_options_scalper,pct_stock_options_seller,pct_stock_trader,pct_unmapped,total_trades,primary_persona
d5gt85q4suvs73f7g1sg,8,4,0,17,1,0,0,4,0,0,23.53,11.76,0.0,50.0,2.94,0.0,0.0,11.76,0.0,0.0,34,mixed
d5gukr24suvs73f7i06g,0,3,0,0,2,0,0,0,68,0,0.0,4.11,0.0,0.0,2.74,0.0,0.0,0.0,93.15,0.0,73,stock trader
d5h09na4suvs73f7k83g,0,0,0,0,0,44,0,0,12,0,0.0,0.0,0.0,0.0,0.0,78.57,0.0,0.0,21.43,0.0,56,stock options non-scalper
d5h0d6i4suvs73f7kcig,0,12,0,0,0,7,0,0,0,0,0.0,63.16,0.0,0.0,0.0,36.84,0.0,0.0,0.0,0.0,19,index options non-scalper
d5h4p724suvs73f7pgb0,0,1,22,25,0,0,0,0,1,0,0.0,2.04,44.9,51.02,0.0,0.0,0.0,0.0,2.04,0.0,49,mixed
d5hga5q4suvs73f8489g,7,39,53,33,0,0,0,0,0,0,5.3,29.55,40.15,25.0,0.0,0.0,0.0,0.0,0.0,0.0,132,mixed
d5hkt5i4suvs73f88gf0,0,33,532,128,1,0,0,0,120,0,0.0,4.05,65.36,15.72,0.12,0.0,0.0,0.0,14.74,0.0,814,index options scalper
d5hoosq7gegc739spomg,0,0,0,0,17,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17,investor
d5hr5127gegc739sqvd0,0,554,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554,index options non-scalper
d5hsjqefa7qs73ffnak0,0,5,308,1,1,0,0,0,71,0,0.0,1.3,79.79,0.26,0.26,0.0,0.0,0.0,18.39,0.0,386,index options scalper
d5i6ej6fa7qs73ffpmqg,0,1,0,5,0,0,0,0,0,0,0.0,16.67,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,6,index options seller
d5i6rvefa7qs73ffptsg,0,0,0,0,0,0,0,0,176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,176,stock trader
d5i8ibefa7qs73ffqo60,0,3,0,0,0,6,0,0,0,0,0.0,33.33,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,9,stock options non-scalper
d5i9ot27gegc739svjbg,0,0,2,0,7,4,0,0,0,0,0.0,0.0,15.38,0.0,53.85,30.77,0.0,0.0,0.0,0.0,13,mixed
d5ices27gegc739t0rd0,0,16,0,0,0,65,0,1,26,0,0.0,14.81,0.0,0.0,0.0,60.19,0.0,0.93,24.07,0.0,108,stock options non-scalper
d5ijob6fa7qs73fg0gqg,9,0,0,0,0,4,0,0,0,0,69.23,0.0,0.0,0.0,0.0,30.77,0.0,0.0,0.0,0.0,13,futures trader
d5imu5ufa7qs73fg1210,0,57,0,0,0,1,0,0,203,0,0.0,21.84,0.0,0.0,0.0,0.38,0.0,0.0,77.78,0.0,261,stock trader
